year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,11.0,7.0,11.0,9.0,pidie,26.179998,5.25,95.75
1950,1,73.0,15.0,73.0,15.0,pinrang,11.190001,-3.75,119.75
1950,1,73.0,19.0,73.0,19.0,polewali mamasa,20.289999,-3.25,119.25
1950,1,35.0,2.0,35.0,2.0,ponorogo,32.55,-7.75,111.75
1950,1,61.0,2.0,61.0,4.0,pontianak,18.82,0.25,109.25
1950,1,61.0,71.0,61.0,71.0,pontianak,18.82,0.25,109.25
1950,1,72.0,2.0,72.0,4.0,poso,6.97,-1.25,121.25
1950,1,35.0,13.0,35.0,13.0,probolinggo,26.98,-7.75,113.25
1950,1,35.0,74.0,35.0,74.0,probolinggo,26.98,-7.75,113.25
1950,1,33.0,3.0,33.0,3.0,purbalingga,38.89,-7.25,109.75
1950,1,32.0,16.0,32.0,16.0,purwakarta,12.030001,-6.75,107.25
1950,1,33.0,6.0,33.0,6.0,purworejo,21.73,-7.75,110.25
1950,1,,,17.0,2.0,rejang lebong,38.43,-3.25,102.75
1950,1,33.0,17.0,33.0,17.0,rembang,,-6.75,111.75
1950,1,,,14.0,9.0,rokan hilir,,1.75,124.75
1950,1,,,14.0,7.0,rokan hulu,35.96,0.75,100.25
1950,1,11.0,72.0,11.0,72.0,sabang,,5.75,95.25
1950,1,33.0,73.0,33.0,73.0,salatiga,25.970001,-7.25,110.75
1950,1,64.0,72.0,64.0,72.0,samarinda,10.92,-0.25,117.25
1950,1,61.0,1.0,61.0,1.0,sambas,,1.75,109.25
1950,1,35.0,27.0,35.0,27.0,sampang,,-6.75,113.25
1950,1,61.0,3.0,61.0,5.0,sanggau,12.01,0.25,110.25
1950,1,71.0,4.0,71.0,,sangihe talaud,,3.75,126.25
1950,1,15.0,3.0,15.0,,sarko (sarolangun bangko),42.25,-2.25,102.75
1950,1,,,15.0,3.0,sarolangun,42.25,-2.25,102.75
1950,1,13.0,73.0,13.0,73.0,sawah lunto,34.260002,-0.75,100.75
1950,1,13.0,3.0,13.0,4.0,sawahlunto/sijunjung,32.15,-0.75,101.25
1950,1,73.0,1.0,73.0,1.0,selayar,,-5.75,120.75
1950,1,33.0,22.0,33.0,22.0,semarang,25.970001,-7.25,110.75
1950,1,33.0,74.0,33.0,74.0,semarang,25.970001,-7.25,110.75
1950,1,32.0,20.0,32.0,20.0,serang,18.34,-6.25,106.25
1950,1,,,14.0,5.0,siak,29.039999,0.75,101.25
1950,1,12.0,71.0,12.0,71.0,sibolga,,1.75,98.75
1950,1,73.0,14.0,73.0,14.0,sidenreng rappang,11.190001,-3.75,119.75
1950,1,35.0,15.0,35.0,15.0,sidoarjo,25.26,-7.25,112.75
1950,1,53.0,9.0,53.0,10.0,sikka,,-8.25,122.25
1950,1,12.0,7.0,12.0,9.0,simalungun,21.64,2.75,99.25
1950,1,73.0,7.0,73.0,7.0,sinjai,16.91,-5.25,120.25
1950,1,61.0,5.0,61.0,7.0,sintang,33.9,0.25,112.25
1950,1,35.0,12.0,35.0,12.0,situbondo,23.27,-7.75,114.25
1950,1,34.0,4.0,34.0,4.0,sleman,19.82,-7.75,110.75
1950,1,13.0,2.0,13.0,3.0,solok,38.739998,-1.25,100.75
1950,1,73.0,12.0,73.0,12.0,soppeng,13.69,-4.25,119.75
1950,1,82.0,6.0,,,sorong,26.070002,-0.75,132.25
1950,1,33.0,14.0,33.0,14.0,sragen,29.429998,-7.25,111.25
1950,1,32.0,15.0,32.0,15.0,subang,11.690001,-6.25,107.75
1950,1,32.0,4.0,32.0,4.0,sukabumi,25.51,-6.75,106.75
1950,1,32.0,72.0,32.0,72.0,sukabumi,25.51,-6.75,106.75
1950,1,33.0,11.0,33.0,11.0,sukoharjo,35.52,-7.75,111.25
1950,1,53.0,1.0,53.0,,sumba barat,,-9.25,119.25
